gene_name,log2_mod_coefs,log_fdr_adj_p
Steap1,2.1872743196600104,2.1562701912893174
RGD1304622,1.0740718809537972,2.3928704352360213
Pcgf3,-1.753985629859166,1.0795284830067036
Hltf,1.5034612893302643,2.0694423811005365
Champ1,1.3581289635111369,1.240544381963703
Dnajb5,-1.5608099106648932,2.5059538279662883
Atg12,1.9586810584469574,1.2826472281439103
Apex2,2.9805333612975797,1.6076320547940381
Rtraf,2.4066869343116335,2.4264178273442014
Nelfe,2.1339044527715822,1.1313591018536437
Fkbpl,1.3779325045512385,1.8485380226975228
Ppt2,-1.3664893991080684,1.4056102167172182
Egfl8,-1.1970259749992336,1.963670550519115
Pfdn6,-1.9715361958026805,1.0486385600635921
Zbtb22,1.5684684053045896,1.2427743383480767
Zfp523,1.7435769407168813,1.0823013371240522
Fance,-1.6225337179124695,2.461259657609946
Tead3,-2.3130418172938607,1.1053666246868143
Slc26a8,1.9384329000961278,1.2010241813618092
Kctd20,1.544853749700496,1.7446041618185995
Pi16,2.3373201764740577,1.8617873401317302
Mtch1,-1.7189411505344432,1.5453640266001099
Mdga1,-1.7629832594952428,1.7305886501867322
Lrrc20,2.3259553710175376,1.2408172927447525
Gtf3c6,2.9395432979202814,3.0347402598585496
Cisd1,-3.373054836472782,1.1231656624786215
Arid5b,1.3655810705294174,1.1424947671173409
Sgsm1,1.8374207489059942,1.1745821028580008
Tmlhe,2.0690738574542706,1.401843240358046
RT1-M3-1,1.8241120742780408,1.2762401309999403
Ubd,-1.5735597426368277,3.673812627638278
Znrd1,1.4095620660854347,1.0162001773325082
Calhm5,1.6588351333308406,1.6935509402356814
Apom,1.2466850166281038,2.270873016828436
Slc9a6,-1.3208498890080997,1.0486121310792011
Caln1,1.5860434945876203,1.6666924216125854
Slc7a1,-1.380828950815597,1.133197864174879
Flt1,1.0074461506799037,2.115161595452031
Fcer2,1.8043957107387922,1.1006130792396993
Baiap2l1,-1.5383465809673185,1.0585117165690183
Ccz1b,-1.0846818062483685,1.6049662145878238
Nufip1,-1.0359791221781007,2.323219419525129
Ankrd61,1.0040406565096058,1.5444303512492856
Rilpl2,-1.6427488796135707,1.0974653633586402
Itih2,-2.889423336509451,1.085749867766305
Denr,1.4816530878720295,1.9811833882838896
Prkab1,1.830796552027046,1.0397503931361967
Rnf10,1.5498887639587926,1.523311475696577
Sppl3,-1.2734851234209512,4.152645657504418
Pknox1,1.71842130453291,1.3671691691296348
RGD1311899,-1.3906228593228733,1.394201708014997
Trpm2,1.3247095486715041,1.1463977365683409
Cabin1,-2.2374583357333035,1.1907139211607658
Pcbp3,1.7493482198920054,1.2949140467713827
Ftcd,2.5183775011540535,1.6982753826804102
Pcnt,1.5575901564688552,1.2681765733349317
Adora2a,4.475462158095891,1.6936794865591516
Camkk2,1.51444832015469,1.5372662721089378
Zfp68,-1.353186996927179,1.212071127424015
Hectd4,-1.9319293873201948,1.0650650718161532
Gpc2,-1.2853387609910225,1.1205262740526443
Cux1,1.2356354882753982,1.3558244394104209
Dlx2,1.661438248109022,3.0360372047214708
Brwd1,1.187092832088915,2.001681216369516
St3gal6,1.960710896275206,1.0028675096725301
Whrn,-1.6490602484553316,1.316375707416794
Ppp1r2,-1.7850139611874685,1.3272231448221186
Eif4g1,-1.7219279432115568,1.116027470324536
Wdr53,2.5255303185671463,1.5310869060689545
Lrch3,1.409142164561917,2.210447512406205
Osbpl11,-2.136339825501502,1.2142049222264806
Heg1,-1.4392170444458117,2.1420517775105643
Dnm1l,-2.0645154640260994,1.0135703255274675
Tm7sf3,1.545934876430434,1.0527870702212825
St6gal1,-1.1171382832461936,1.2597413675098426
AABR07034767.1,-1.8522341045014181,1.385423284146183
Mzt2b,-1.8330077275549108,1.0456713229303356
Ergic2,-2.380906990992246,1.01638843743222
Snap29,-1.8409811162115388,1.996697418504618
Fgf12,1.4244601620006643,4.345022999220471
Vcsa2,2.2778477426166357,1.6539467645696806
Bbx,1.2241593617035633,1.308791950547858
Prdm8,-1.4050672821696848,1.1429001448813385
Bmp2k,-1.271207035297888,1.877428996084457
Noa1,-1.8793287991711767,1.0809728412396236
LOC108348180,1.640892607077303,1.384411528707444
Paics,1.9262046499029737,1.5434875346893164
Lrrc8c,1.5345279008194819,1.4807828734663542
Cd200,1.4407788977724294,1.5175749009669517
Pkd2,1.512860818289047,1.1080041825187261
Gpat3,3.0758063511092097,1.2347011814165434
Pdcl2,3.6967864252376517,1.001699404330467
Phldb2,-1.6214121865015974,1.1174299919262378
Helq,-1.6333375059968547,1.601442458966775
Coq2,2.595616075793166,1.2713488388877445
Ociad2,1.720737472827706,1.649876789329702
Mylk,1.5826085262750376,1.2814966002441284
Srd5a3,2.4734499141323876,2.5923276936711463
Kit,-1.1371049312476205,1.862249164746148
Atp10d,3.3229491341729718,1.2117100435245582
Dgke,-1.1787474123993689,2.6935610753807775
Itm2a,-1.786888751407258,1.3791161050325786
Prg4,1.217130452221966,1.0413641360309465
Morf4l2,-1.3941354718984598,1.6556231706911564
Odr4,1.9720946079131862,2.7052226500992207
Gpr137b,1.1505893826432283,1.3769246139245024
Ccdc93,-1.6310241845903064,1.103233625735826
Ptgs2,-1.2430736883005185,3.8428867463085985
Pds5a,1.3401785524705394,1.6021966088609867
RGD1309748,1.1190412675398134,1.6229172093948683
Tekt5,3.166072195090494,1.4752629564116977
Ptpn4,-1.7514719301173747,1.1220215736888792
Kctd3,1.9579356126636898,1.0084330976157685
Abat,1.403903371443925,1.3314086580612698
Ccdc43,-1.8935045400959916,1.2140344722377516
Npl,1.8952928263349957,2.4092678944303256
Aatf,2.1337597169827585,1.4297029360088
Kdsr,3.9986475345022554,1.1112091088027856
Gdpd2,2.1277690852825515,1.46003720154731
Luc7l3,1.1572102888357954,1.0682590378979493
Maoa,-1.1686518044669483,1.8144723733677182
Nacc1,-1.0000824129564194,2.322656736971136
Rassf6,1.3800949721884457,3.3681112911914663
Ren,2.544734774985347,1.5269560862911074
Ttc19,-1.4386419780101727,1.2218644695841003
Nfix,-1.717003976912934,1.0345666487550234
Timmdc1,3.3460301771244247,1.4878678299180206
Optc,2.9413837027293033,2.144202236843979
Tmem39a,1.4156842314124387,1.9103062602658256
Sqstm1,-1.672239513299967,1.5399768635178284
Anks3,-1.794871202299668,1.5934602569176133
Ldb2,1.9495026908471953,1.610784115190291
Pcp4l1,1.9194671496289621,1.739920190692571
Zfp286a,2.630311811247187,1.9219809719558523
Nudt16l1,1.3606307514583238,1.339166244089917
Cacng1,4.447517736541935,1.19096895220809
Qdpr,-2.381128103366241,1.0048320974164056
Epn3,1.474288453618036,1.709684813557323
Flcn,1.4972910639208892,1.4565441245428004
Rrn3,2.4765237366068487,1.8810928760346606
Mybph,-1.6437809540070998,1.1051329205402691
Canx,-1.3737491755007178,1.5193446546218217
Grsf1,1.2768862706450959,1.844317354492774
Slc35f5,2.4949135909732325,1.6855992246975204
Efemp1,2.440731995643667,1.4393443714965135
Ccdc112,-2.2188935617416616,1.1209175986930466
Ppox,-1.1398854486507084,1.8902744994412515
Utp3,-1.365069100732536,1.303131209845224
Med13,-1.291498152404004,1.0084790155704708
Wdr26,-2.1228553789805606,1.1435879861776999
Rps6kc1,-1.1465607369140676,2.187732414538929
Dedd,2.1792404246059065,1.1267718734819052
Slit2,1.2553732591979228,1.2318774442847054
Scoc,2.1499642256714204,1.0088981679488298
Dnaja3,-1.9019887114796254,1.0545411939358993
Lgi2,1.9612544285282951,1.8438216185236604
Rgs13,2.467688935809108,1.0345421741865024
Tbc1d15,2.2619520715610286,1.9156918332141195
Pcdh19,-1.3441830463275066,1.094955705037229
Tor1aip1,1.269222585208889,1.1947891947216722
Ntn1,1.874765464119276,1.0583880760041118
AABR07037995.1,2.4678661644431017,1.3361163527067679
Fam20a,1.404009224851111,1.0834617120350392
Zfp18,-1.5369829009734994,1.1555983751642454
Dusp10,2.1962066190579503,1.1294803495980816
Nrde2,1.0921652348990338,2.1790147822208095
Chmp6,-1.5406394695256602,1.1744764944063566
Tdrd5,3.35091210181989,1.6805343566212274
Zc3h14,1.4485831286650048,1.0165658841998164
Cwc25,1.6752887944572403,1.45496619503214
Rhot1,2.262759260981405,1.024600765251633
Zfpm2,-1.2199968144908548,1.382591737339016
AABR07001435.1,3.964212038768295,1.1289629928997877
Slc9a7,-1.4414054746917724,1.3421203702235416
Lrp12,1.5752345856066436,1.0478593040036532
LOC298795,1.2978869419268086,2.7721505643501603
Rims2,1.6700610462823073,1.4319848052218562
Eml5,1.1848596285758684,1.7637430233831404
Mgat2,-1.1553473906724363,1.0254737680569037
Adgra3,-1.7355316783839285,1.3073165663356914
Abl2,1.47151279715518,2.0708151211021013
Babam2,1.5464100346133096,1.71367646735022
Klhdc1,-2.5709693216681595,1.0404434409651542
Klhdc2,1.3259093831109776,2.0151814927227694
Ublcp1,2.024852963798567,1.2479877650179338
Adss,1.1394920481232875,3.189891603740196
Ccdc88c,1.5320359703909332,1.308538877255065
Alg12,-3.1048871987147795,1.2916784476153536
Srgap1,-1.5313766123549448,1.2426745298026685
Rbfox2,-1.9019272429262444,1.2971936242354585
Fibin,4.577397804398008,1.1025848054377794
Yaf2,-1.1504903058755271,1.395117632137157
Rtcb,1.4548707618214778,1.2429848240298917
Sar1b,1.617260529807086,1.279053444628191
Itga4,1.7745719156473694,1.0516027700768964
Crhr1,1.361740253227762,2.56688674213143
Rnf215,1.689508403359674,1.23948546153862
Jade2,1.5650086836904715,1.3410570010849143
Plekhh2,1.7520745011865795,1.0047419901185148
Hus1,2.0666453344095337,1.643435636588231
Lrrc6,2.8875696311972545,2.9494459155143655
Acp1,2.1381203908960766,1.1380192227184553
Csnk2a1,-1.58018420116659,1.1101076982034992
Maea,-1.4961637880864176,1.8917629302595955
Zhx2,1.3179325604509549,1.0387293080079207
Thg1l,-1.2734381251401508,1.6574111022753664
Itgb4,2.2249700844666225,1.5657463815967807
Ndufa8,-1.1182437709660331,1.7037917293939708
Bfsp1,2.23657513351974,2.8988595064772706
Il27ra,-1.9339323809983189,1.0724333593049853
Rab22a,1.7869163594334438,2.4634618494121003
Arhgdib,-1.077443664325765,4.562124472135703
Utp20,1.224301394897752,1.7119508659905311
Erp44,1.7133351832687913,2.3335428041750803
Ppm1a,-1.1228675818516032,2.007292654944635
Cpq,-1.941975020014454,1.2431696814169886
Naalad2,1.7502501709386682,1.158426931123254
Rab2a,-1.5071282757748259,1.0260740622891447
Irak4,1.7591346701330188,1.589064374137548
Cdk12,1.2995693922309204,1.014590916012362
Snx5,-1.6654481217884738,1.5343225455686518
Psd4,2.7705663776209692,1.9087983481664652
Calu,1.9487205770433254,1.0915129275665734
Slc30a3,-1.252174858043117,1.1614140862846358
Dsn1,3.21240546006287,1.328687406750779
Lztfl1,2.8689654770855793,1.089296428871354
Klhl9,-1.3551395706483886,1.1715486321267636
Akap8l,1.1562455188758511,1.345088378998764
Alg2,-1.754588187755448,1.1742129707273767
Vdac1,1.6146550118012875,1.1935253325085349
Fkbp4,2.146001996943247,1.1767593824614042
Atl2,1.7803916647529485,1.2229616017909961
Setd3,-2.2566651835186,1.0179426951270936
Fam163b,-1.2226017799675777,2.5365746702124907
Thy1,-1.8204242936996158,1.226324921677703
Dnajc9,-1.2784361060047906,1.1163550081903875
Dusp16,1.4629851104189877,1.189056054249079
Plrg1,3.2284963693150095,1.2040187937340223
Wdyhv1,-1.1962336000560432,2.07455418688755
Zfp212,-1.8625825744619835,1.302115634009556
Zfp618,2.02102955475388,2.1668724825657915
Itga11,2.0954150267509077,1.2532626889366636
Slc24a4,1.500832396761654,1.1397211122031667
Arl6ip5,1.0994367069640707,2.085130576268392
Pgr,-1.7547885827840957,1.32709160690224
Etv1,1.5867338503456223,1.0010878763738982
Opn1sw,1.9903794064803026,1.159420903710337
Zfp786,1.9536207394423044,2.1571907503724552
Thumpd3,1.2009121531214422,1.3889861901285991
Stk32c,1.6290479968726248,1.002591718346121
Dnaja1,1.1570909240045908,1.6609046658042736
Sorcs2,1.3030834247891208,1.9799924222712224
Bcl11a,-2.0535533496786655,2.2256468103470217
Dhx33,1.8885609183033547,1.7559436183449624
Plin2,-1.3325649086928402,1.5016167383435297
Gpn2,2.7716884302716682,1.1231360728480348
Crebl2,1.1963192301369083,1.7599183756886911
Nop56,-1.4101054711321577,2.038804853453876
Sema3d,-1.160192932184025,2.2823326896681566
Map3k9,-1.3874315739227903,1.2105380572660762
C1qtnf6,3.135018266917161,2.050598747293031
Fam3d,1.590804369016421,1.0425222578729487
Ric8b,-1.887863973857626,1.139008550207657
Plxna2,-1.5305259054981954,1.0090209798257748
Pars2,1.4103160955478609,3.0253346532409107
Mroh8,-1.2628169296860015,1.3458646283003826
Gca,1.13314037144048,1.0968863964147106
Ccdc105,2.4568109940906306,1.0976723320015003
Pla2g4b,1.1883153456103441,1.9992120965407087
Calb1,1.1070885179184065,1.7255784519358544
Zfp597,-1.3284287834353352,1.843522460319496
Dnm2,-1.5320365151007378,1.091631509549393
Cd63,2.0606841408074867,1.02036157057308
Zfp800,1.9065135637838395,1.2142975305377108
Ppig,1.197681068585165,2.810033640568675
Cyth4,1.0980584110316947,2.4010935428343125
Tmcc3,-1.1152194926286016,1.7252003001285081
Ccnc,1.9191144644071965,1.5235385424217442
Supt4h1,2.1038575522372027,1.050153501731016
Psma3l,1.118585962192341,2.1831963072784455
Mtmr14,1.0006141565298576,3.1276141423176433
Gsdma,1.008230087759876,2.949332890793802
Abra,1.6042919561670033,1.0628848604439678
Cul5,-1.0044785823898064,1.7696722864791354
Gins1,3.418293091805225,1.0116574702383716
Sync,-1.655944667385598,2.8558903032374903
Mefv,-1.5632387966775692,1.956613752515122
Traf3,-1.569559423864704,1.7968346239257265
Wnt5b,2.10772751967027,1.1812288914474611
Slc24a2,-1.8893929490541839,1.3175399165194768
St3gal1,1.477955857891478,1.1969826044706646
Thumpd2,1.464485336563814,2.658966071219191
Zbtb8a,1.395879174209647,1.9861474539403472
Lypla1,-2.2311731426394465,1.7572214003381277
Clcn6,-1.9300885997877386,1.5463174532491997
Pml,1.5125767310912146,1.2989027819383727
Cep63,-1.463835691400429,1.0665823307997322
Sec23b,-2.060259089305234,1.611275427477608
Nab2,-1.1410086885191748,2.9693464389115714
Aagab,-1.3541409715924435,2.841284310571678
Smdt1,-1.7842982576679618,1.6046539734994592
Lrrc43,2.972420968745601,1.75912432758778
Acox3,1.6959890741693953,1.07699303476867
Acrv1,3.1027809503780457,1.6772786046712642
Slc9a9,2.16594499578374,2.806031490335685
Mal2,-1.1919367734608202,1.1282898597643194
Cc2d1b,1.7568604780990866,1.126151784351442
AC127920.1,3.161457309978563,1.0217797017316241
Loxl1,-1.4879958484843192,1.1327761645853893
Alk,1.5840566125926367,1.1373072327689682
Cbx1,1.6884924779858048,1.8389399007442206
Ick,-1.1172499108761829,1.7060100807358325
Epx,1.4229507465081241,2.7236634617956756
Tp53i11,-1.228729210927419,1.5095355030967594
Ncs1,1.517528015885584,1.72536027032308
Otud5,-2.3059818628977493,1.3859457603880452
Grin2b,-1.764281499719087,1.3424818400082645
Mpp5,1.224974182410473,1.2473931784921226
Nsmf,-1.6083389184388701,1.8185333095124654
Dach1,2.7068748563335143,1.119069210675572
Pdrg1,1.3699209907041896,2.2373053539307217
Tank,2.3974229417662682,1.0734443031630887
Fggy,2.1961100733945567,1.1039932534695363
Rbm48,2.1983832873827596,1.6706751304640026
Ttpal,1.3206605951498076,2.7352476458530552
Dad1,-1.5791611983847613,1.1221393485479476
Dis3,1.503912631209048,1.7790933632108252
LOC500007,1.7172420790650254,1.145563168666693
C1qtnf4,-1.620270961559739,1.2081801087470025
E4f1,1.7438205809786957,1.5538217690013238
Fgf14,-1.2356094717637143,1.4416708093634425
Snapc1,2.76366173989937,1.0148600626040276
Bmp10,2.9839292972659446,1.7928583180015638
Ttll5,1.3603507711801177,1.1327378114256077
Slc17a5,2.115181139001605,1.3036822226650997
Osgep,-1.5082104619480086,1.42616296389787
Mapk15,2.6382014896580097,2.083548555971737
Mapk6,2.232237812859963,1.4685478160420866
Sptssb,2.4440451505837544,2.1353788969218264
Rabgap1,1.1806564359687868,1.1865793165587986
Dcaf17,2.964965426809818,1.3567435840732616
Hemgn,3.3700962834971673,1.0434054866267979
Ptcd3,1.2207259870699736,1.5076375836123295
Trmo,1.647807065737802,1.4445641808238978
Sdcbp2,1.006911715842949,1.7262380773904449
Erich3,1.6815690216360182,3.102829410994608
Pgp,1.5559418170660733,1.4906263445242782
Gpr3,2.6339339110390547,2.512140512389681
Polr1a,1.3246793330801598,2.7590331087407636
Ubiad1,1.2074716478197804,3.3081299152827457
Tfe3,2.6313435159902325,1.051514637755993
Bricd5,-1.485199264123357,1.3167375852584906
Car2,-2.046737183263949,1.4356661890584888
Mlst8,1.8277423381265803,1.078332951334909
Obi1,1.7629174588594012,1.0975003721237333
Lck,2.2673389647228213,1.7202010879007914
Tas1r1,1.2609281713806448,1.187103482656358
Rad52,1.9284317826109483,1.1027964096330531
Pacsin2,1.646804917878602,1.108583707757284
Gpr180,1.6372441147098433,1.6352051456102796
St3gal4,1.5339765858030845,1.4427147649789756
Tgfb3,1.167448473112996,2.4850587232636987
Adamts15,3.318039732655234,1.078019977908304
Skil,-1.7659693171634507,2.600210933806501
Prlhr,1.785015720988178,1.1813261313491632
Cacul1,-1.8678274177666767,1.4094798320310533
Plekha8,-2.161676265359847,1.7211409567873666
Thrap3,-1.6844357664958352,1.0038411594007364
Zranb2,1.1953567434376133,1.025023966236508
Rabggtb,1.5048284995374175,1.7698761055485737
Adck2,1.110412509223164,1.7744046305951637
Polr3d,-1.7726569175370848,1.3332838884813105
Ube2g1,1.2123335044132084,1.5246702105114933
Dctn1,-2.269322484417837,1.109645327010415
Lypla2,1.1325972482400382,1.7978084650792079
Spag1,1.4459890158582955,1.5704165124234726
Ythdf3,-1.1984664784763668,1.0662842235266197
Rin2,-1.3628275234093172,1.7934775477152267
Cmc1,2.614278556878492,1.1646122167418242
Magel2,-1.5549888618442427,1.8547509651601246
Mkrn3,-2.335899721489449,1.141502873876873
Brk1,1.7099450886169076,1.1590603253690266
Glb1,-1.671001779171827,1.7860692835722412
Scrn2,3.0088798885119186,1.52059190633772
Rab30,1.846936543016727,2.0470902073540165
Map7d1,-1.2551346095592375,2.637147386426696
Cldn11,1.501030159373246,1.8978570850945542
Cd180,-2.876692438215012,1.8438781303070135
Dzip1,1.9685795639656283,1.3127639712694694
Ctsb,-1.1855063933150156,2.762779803905364
Cpt1b,2.848746211093228,1.2289496144958405
Elovl7,4.556732645701106,1.3072593826667782
Impa1,-1.2572698196953218,3.4567531992804392
Samd4a,-1.0981551551615574,3.0429648628692285
Fbxo8,1.0569313556348636,1.5625052055443498
Cyp39a1,2.4507362944596767,1.0009393990980655
Nr2c2,1.4795320911950145,1.5509060767593106
Tspo,3.579212043082623,1.2237062048230627
Cep44,3.7451486818134696,1.3639675623686816
Stra8,2.7572902771689374,1.1559716772414186
Abcf2,-1.3579032252339316,1.5295182407951184
Lgals3,4.166922777036768,1.0797563022228134
LOC103691744,-3.4481535594371,1.1202740583792157
Dicer1,1.312067928015516,1.3266307244686355
Nfyc,1.6145879585330856,1.014464797323142
Mbnl2,1.5829892563132848,1.6488933829657615
Tmem41b,2.1064528695075686,1.1628206304225932
Dlc1,1.2092907209451413,2.505735245229601
Adamtsl3,2.9757407521272077,1.0943798556007216
Col8a2,2.18415934634342,1.3198362728213282
Nup205,-1.7712210662668046,1.607034087068465
Mrpl57,-1.1917358341548443,1.3836425198768179
Nfe2l3,1.463567914477629,1.1631562718242723
Nek6,1.1623825199169053,1.5963929624450883
Ermp1,1.341377675371212,1.533031161046293
Ywhab,-1.9114699439835097,1.1106436298039912
Cmtm6,2.4437973044272736,2.2530413218854592
Icmt,-1.6347971772216217,1.4835898440065174
Igfbp6,3.5555536866791226,1.5737416106106055
Uba5,2.0478243479849563,1.4234035401326877
AABR07054096.1,1.9396707751981639,1.04701238869688
AABR07063855.1,-1.9803845221476841,1.5112977612493343
Dennd1b,-2.3562861790894973,1.081843289452501
Tjp1,-1.4000512714819466,1.5003045485558895
Arl15,-2.1763448710058864,3.4024053958654594
Adgrf5,1.6763319294155543,1.8489171451034503
AC126641.1,-1.4796251668301832,2.023038906586193
Coq6,1.2166829046774499,1.625903061831664
Wdhd1,3.512540109762683,1.9570885864562195
Fpr1,1.1146589335321329,1.3436225652105405
Sftpc,1.4165582297457613,1.6431079556408457
Farp1,1.6635685426855238,1.1782601836917566
Fam76a,-1.6737979088907837,1.1022537619777382
Sorcs1,1.8971045707948695,1.3055413846275712
Pkn2,-1.3063386759063642,1.1616013773468252
Slc37a4,-1.3751950882855262,1.4692877563809066
Scp2,2.0319976325869473,1.1748990122036174
Osbpl10,1.3931622225121791,1.7062234732319705
Arfgef3,1.5544643169517365,1.0173455704473573
Psmb2,3.4897892118885796,1.0457175072883762
Zc3h12b,1.672571662157677,1.067074856231115
Nln,-1.051734110075072,1.7781643590746734
Mapk1ip1l,1.9118299198132607,1.041367700764818
Dguok,-2.2392895073856676,1.043904045610515
Kcnq2,-1.618969121345036,1.7077363887400137
Xkr6,1.241622186841495,1.1182736758924885
Washc2c,-1.9348886506911838,1.1423076262224374
Rmdn3,-1.6994662867082722,1.8006461919511103
Pum1,1.4240325926754938,2.309216331760053
L3mbtl3,-1.9089910013669897,1.0990785836350794
Dennd4a,1.8877353308909033,1.1623058253652312
Fblim1,1.0907815186582568,1.6477276655761441
Tcea3,2.0510644441386594,1.845883690360806
Krt28,1.3272675566613854,1.2431764745157003
Golga2,1.4747291651683447,1.6121824382266534
RGD1307929,-1.7274354653120587,1.1529225119872213
Plk2,1.55167893864956,1.2027568153970423
Psmc2,-1.4015640885844263,1.0022680330819143
Gucy1b1,1.807818254751945,1.2217928009402925
Abhd14b,1.6109178135836053,1.5598796693005692
Scn4a,1.8199343890549737,1.57027233501555
Ccdc84,1.2741072452816393,2.0383204275575117
Nfatc2,-1.0325504189490824,2.8991522147399342
LOC100294508,1.871121447242037,3.5292601394207788
Tgfbi,2.6303797306116494,2.2959667014698715
Ddx25,-1.3204868461133283,1.1333898296434106
Cnot7,1.9345432175320887,1.1382229356842077
Gucy1a1,-1.4416725095723637,1.1434494076918351
Mybpc3,1.3645638753208214,1.1808736819671843
Slc7a9,3.262518461288623,1.59581101880229
Slc36a1,-2.0121366736985116,1.4124831336890948
Adh6,1.2181212590526094,1.48742029821555
Pxylp1,1.5483163010849372,2.3706984784547886
Shisa2,1.1370625888372463,1.5678144030842465
Ephb2,-1.292012131189787,1.036699324785686
Leprotl1,-1.7471549530856902,1.3605541683638438
Ppt1,1.822739899051203,1.222975383929038
Epor,2.492713661941408,1.68249254380207
Arf4,2.0132060310301627,1.1546120424334374
Ciao1,1.1994807709605955,1.939576590313713
Pomc,2.9103745839261106,1.646780944082296
Chsy1,-1.3827515698466242,1.3342763472507275
Ednra,1.9503042934637473,1.479333705004865
Lrrk1,1.8180883283419116,1.09522904816901
Ankrd12,-1.4502391534107957,1.4483122106462496
Cklf,2.725510893909617,1.106748174674159
Nqo1,2.845975939463008,1.6762156474905507
Ajuba,2.3631176388502064,1.3271722673865087
Wdr61,2.225547681595394,1.1500174742878475
Cnmd,1.7302401713923286,1.9979346974218988
Creb3l2,1.183111290727865,2.430814824911888
Emg1,2.1130763370203343,1.1109826761328692
Slc25a26,1.6086593136159746,3.430618181946852
Tk2,2.5340201001579317,1.0621325578119678
Tti1,2.2480353150890013,1.6881851852494152
Fgl2,1.5162705035442687,1.4142935205760145
Ccdc146,3.137339685252986,1.0001500453826353
Satb1,1.2095787637548645,1.1615723636564397
Tgm2,-1.2108260581100707,1.6186111608182259
Lix1,-1.970138342806779,1.2654005470880705
Nkain3,-1.6346815777452903,2.729925237001268
Pcdh8,-1.469780302852637,1.0900952053472663
Nudt2,-1.713590692382732,1.0922569515457472
Atox1,1.570806898556927,1.546633288770873
Arhgap10,1.0159626141682188,3.9178471411867193
Hmgb2,2.0727125658987102,1.2724556394654414
